project,pair_id,language,expected_type,type_match_status,expected_scope,inspection_priority,relationship_shape,overall_relationship,dominant_region_type,matched_coverage_left,matched_coverage_right,unrelated_code_ratio,accepted_region_count,selected_region_count,suppressed_region_count,emitted_region_count,count_T1,count_T2,count_T3,count_T4_CONFIRMED,count_POSSIBLE_T4_CANDIDATE,count_NON_CLONE,coverage_T1,coverage_T2,coverage_T3,coverage_T4_CONFIRMED,coverage_POSSIBLE_T4_CANDIDATE,coverage_NON_CLONE,file_tags,first_regions,runtime_ms,transformation_tag,difficulty,limitation_tag,notes
LongT1,java_long_t1_order_01,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.908676,0.904545,0.095455,743,14,729,13,13,0,0,0,0,0,0.908676,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:OrderRiskA.checksumBonus(String[],String)->OrderRiskA.checksumBonus(String[],String)|T1:OrderRiskA.distributionScore(int[])->OrderRiskA.distributionScore(int[])|T1:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskA.evaluate(int[],String[],String,int)|T1:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskA.explainOrderRiskScore(int[],String[],String)|T1:OrderRiskA.hasStableWindow(int[],int)->OrderRiskA.hasStableWindow(int[],int)",3614,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_order_01,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.908676,0.908676,0.091324,743,14,729,13,0,13,0,0,0,0,0.0,0.908676,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskB.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskB.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskB.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskB.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskB.hasStableWindow(int[],int)",3717,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_order_01,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskC.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskC.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskC.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskC.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskC.hasStableWindow(int[],int)",3652,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_order_01,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskD.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskD.distributionScore(int[])|T2:OrderRiskA.evaluate(int[],String[],String,int)->OrderRiskD.compute(int[],String[],String,int)|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskD.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskD.hasStableWindow(int[],int)",3700,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_order_01,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:OrderRiskA.checksumBonus(String[],String)->OrderRiskE.checksumBonus(String[],String)|T2:OrderRiskA.distributionScore(int[])->OrderRiskE.distributionScore(int[])|T2:OrderRiskA.explainOrderRiskScore(int[],String[],String)->OrderRiskE.explainOrderRiskScore(int[],String[],String)|T2:OrderRiskA.hasStableWindow(int[],int)->OrderRiskE.hasStableWindow(int[],int)|T2:OrderRiskA.normalizeToken(String)->OrderRiskE.normalizeToken(String)",3632,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_order_01,JAVA,NON_CLONE,True,UNKNOWN,LOW,LOCAL_SIMILARITIES_ONLY,MOSTLY_NON_CLONE,T3,0.109589,0.225131,0.890411,10,7,3,7,0,4,3,0,0,0,0.0,0.08377,0.183246,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:OrderRiskA.scoreOrderRiskLabels(String[]) statements 1-3->OrderRiskUnrelatedZ.countLinesWithDigits(String[]) statements 1-3|T2:OrderRiskA.scoreOrderRiskLabels(String[]) statements 1-3->OrderRiskUnrelatedZ.countWords(String[]) statements 1-3|T2:OrderRiskA.scoreOrderRiskLabels(String[]) statements 1-3->OrderRiskUnrelatedZ.estimateWrappedLineCount(String[],int) statements 1-3|T2:OrderRiskA.scoreOrderRiskLabels(String[]) statements 1-3->OrderRiskUnrelatedZ.longestLine(String[]) statements 1-3|T3:OrderRiskA.scoreOrderRiskLabels(String[]) statements 1-5->OrderRiskUnrelatedZ.countWords(String[]) body",3039,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_sensor_02,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.908676,0.904545,0.095455,743,14,729,13,13,0,0,0,0,0,0.908676,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:SensorQualityA.checksumBonus(String[],String)->SensorQualityA.checksumBonus(String[],String)|T1:SensorQualityA.distributionScore(int[])->SensorQualityA.distributionScore(int[])|T1:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityA.evaluate(int[],String[],String,int)|T1:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityA.explainSensorQualityScore(int[],String[],String)|T1:SensorQualityA.hasStableWindow(int[],int)->SensorQualityA.hasStableWindow(int[],int)",3550,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_sensor_02,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.908676,0.908676,0.091324,743,14,729,13,0,13,0,0,0,0,0.0,0.908676,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityB.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityB.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityB.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityB.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityB.hasStableWindow(int[],int)",3775,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_sensor_02,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityC.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityC.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityC.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityC.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityC.hasStableWindow(int[],int)",3677,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_sensor_02,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityD.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityD.distributionScore(int[])|T2:SensorQualityA.evaluate(int[],String[],String,int)->SensorQualityD.compute(int[],String[],String,int)|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityD.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityD.hasStableWindow(int[],int)",3619,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_sensor_02,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityE.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityE.distributionScore(int[])|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityE.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityE.hasStableWindow(int[],int)|T2:SensorQualityA.normalizeToken(String)->SensorQualityE.normalizeToken(String)",3561,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_sensor_02,JAVA,NON_CLONE,True,UNKNOWN,LOW,LOCAL_SIMILARITIES_ONLY,MOSTLY_NON_CLONE,T3,0.109589,0.225131,0.890411,10,7,3,7,0,4,3,0,0,0,0.0,0.08377,0.183246,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.countLinesWithDigits(String[]) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.countWords(String[]) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.estimateWrappedLineCount(String[],int) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.longestLine(String[]) statements 1-3|T3:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-5->SensorQualityUnrelatedZ.countWords(String[]) body",2950,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_invoice_03,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.908676,0.904545,0.095455,743,14,729,13,13,0,0,0,0,0,0.908676,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditA.checksumBonus(String[],String)|T1:InvoiceAuditA.distributionScore(int[])->InvoiceAuditA.distributionScore(int[])|T1:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditA.evaluate(int[],String[],String,int)|T1:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)|T1:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditA.hasStableWindow(int[],int)",3594,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_invoice_03,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.908676,0.908676,0.091324,743,14,729,13,0,13,0,0,0,0,0.0,0.908676,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditB.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditB.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditB.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditB.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditB.hasStableWindow(int[],int)",3536,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_invoice_03,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditC.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditC.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditC.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditC.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditC.hasStableWindow(int[],int)",3676,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_invoice_03,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditD.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditD.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditD.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditD.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditD.hasStableWindow(int[],int)",3589,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_invoice_03,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditE.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditE.distributionScore(int[])|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditE.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditE.hasStableWindow(int[],int)|T2:InvoiceAuditA.normalizeToken(String)->InvoiceAuditE.normalizeToken(String)",3751,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
